Link;Titel;Categorie;Beschrijving
https://tvtropes.org/pmwiki/pmwiki.php/Franchise/Pokemon;Pokémon (Franchise) - TV Tropes;TV Tropes › Franchise;A description of tropes appearing in Pokémon. Pokémon is a long-running series of Japanese Role Playing Games, developed by Game Freak and published …;
https://tvtropes.org/pmwiki/pmwiki.php/Characters/Pokemon;Pokémon / Characters - TV Tropes;TV Tropes › Characters;An index page listing Pokémon content. These are the character sheets for the various Pokémon groupings: Shout Outs, Captain Ersatz and Expy …;
https://tvtropes.org/pmwiki/pmwiki.php/Anime/PokemonTheSeries;Pokémon: The Series (Anime) - TV Tropes;TV Tropes › Anime;The Pokémon anime series, currently marketed in English as Pokémon: The Series, is a loose adaptation based on the Pokémon games developed by Game Freak.;
https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/PokemonScarletAndViolet;Pokémon Scarlet and Violet (Video Game) - TV Tropes;TV Tropes › VideoGame;Pokémon Scarlet and Violet are the first pair of Generation IX games in the main Pokémon series, and released on Nintendo Switch on November 18, 2022.;
https://tvtropes.org/pmwiki/pmwiki.php/FanWorks/Pokemon;Pokémon / Fan Works - TV Tropes;TV Tropes › FanWorks;A page for describing FanWorks: Pokémon. This is an index of Fan Works related to Pokémon. Pokémon The Abridged Series Pokémon The ' …;
https://tvtropes.org/pmwiki/pmwiki.php/Main/PokemonSpeak;Pokémon Speak - TV Tropes;TV Tropes › Tropes;The Pokémon Speak trope as used in popular culture. When the Verbal Tic sufferer is pushed well past Smurfing all the way to its logical conclusion and …;
https://tvtropes.org/pmwiki/pmwiki.php/Characters/PokemonScarletAndViolet;Pokémon Scarlet and Violet / Characters - TV Tropes;TV Tropes › Characters;A page for describing Characters: Pokémon Scarlet and Violet. Main Character Index > Scarlet and Violet Characters from Pokémon Scarlet and Violet …;
https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/PokemonDiamondAndPearl;Pokémon Diamond and Pearl (Video Game) - TV Tropes;TV Tropes › VideoGame;A description of tropes appearing in Pokémon Diamond and Pearl. The fourth generation of Pokémon games, Diamond and Pearl hit the Nintendo DS in Japan …;
https://tvtropes.org/pmwiki/pmwiki.php/Characters/PokemonGenerationIXFamilies;Pokémon: Generation IX Families / Characters - TV Tropes;TV Tropes › Characters;A page for describing Characters: Pokémon: Generation IX Families. Main Character Index > Pokémon Generation IX Families The character sheet for …;
https://tvtropes.org/pmwiki/pmwiki.php/NightmareFuel/Pokemon;Pokémon / Nightmare Fuel - TV Tropes;TV Tropes › NightmareFuel;A page for describing NightmareFuel: Pokémon. We all know Pokémon, don't we? As happy as the eponymous monsters and the world they live in may seem on …;