Link;Video;Weergaven;Kanaal
https://www.youtube.com/watch?v=dQw4w9WgXcQ;Rick Astley - Never Gonna Give You Up (Official Music Video);1,3 mld. weergaven;Rick Astley;;
https://www.youtube.com/watch?v=GtL1huin9EE;InsurAAAnce & Rick Astley Never Gonna Give You Up;5,4 mln. weergaven;CSAA Insurance Group, a AAA Insurer;;
https://www.youtube.com/watch?v=K5zP7eQltDE;Barry White - Never Never Gonna Give Ya Up • TopPop;8,4 mln. weergaven;TopPop;;
https://www.youtube.com/watch?v=QQ55ywJwF1Q;Barry White - Never never gonna give you up;9,4 mln. weergaven;20nERa90;;
https://www.youtube.com/watch?v=xm3YgoEiEDc;10 Hours Rick Astley Never Gonna Give You Up;2 mln. weergaven;10 Hours;;
https://www.youtube.com/watch?v=H8ZH_mkfPUY;Rick Roll The Remakeboot;3 mln. weergaven;Eder KFCard;;
https://www.youtube.com/watch?v=DLzxrzFCyOs;Rick Astley - Never Gonna Give You Up [HQ];9,1 mln. weergaven;AllKindsOfStuff;;
https://www.youtube.com/watch?v=I1gNbVv-rsg;Rick Astley Burns The School Down;1,3 mln. weergaven;Just A Happy Troll;;
https://www.youtube.com/watch?v=rUy4Xf9p65c;Rick Astley Goes Skydiving;320K weergaven;Just A Happy Troll;;
https://www.youtube.com/watch?v=a6qZLpQhm80;When Beluga tries to RickRoll Rick Astley…;309K weergaven;Walt;;
https://www.youtube.com/watch?v=qeiH2sNDDXU;IQ 10,000;6,1 mln. weergaven;Beluga;;
https://www.youtube.com/watch?v=8leAAwMIigI;Rick Astley - Never Gonna Give You Up (Karaoke Version);3,2 mln. weergaven;Sing King;;
https://www.youtube.com/watch?v=QdezFxHfatw;Rick Astley - Never Gonna Give You Up [Lyrics];66K weergaven;GlyphoricVibes;;
https://www.youtube.com/watch?v=la-GFyRzIRA;Never Gonna Give You Up - 1 Hour Version - Rick Astley (Lyrics);92K weergaven;Daily Dose Of Songs;;
https://www.youtube.com/watch?v=dJRsWJqDjFE;Choir! Choir! Choir! / Rick Astley - Never Gonna Give You Up!!!;3,1 mln. weergaven;Choir! Choir! Choir!;;